title,chunk_id,topic,confidence
Alexander Dobrindt · 120 Tage Schwarz-Rot,0,Government,0.998934567
Alexander Dobrindt · 120 Tage Schwarz-Rot,1,Government,0.9592605829
Alexander Dobrindt · 120 Tage Schwarz-Rot,2,Immigration,0.9992905855
Alexander Dobrindt · 120 Tage Schwarz-Rot,3,Immigration,0.9965626597
Alexander Dobrindt · 120 Tage Schwarz-Rot,4,Immigration,0.9969058633
Alexander Dobrindt · 120 Tage Schwarz-Rot,5,Macroeconomics,0.7354474664
Alexander Dobrindt · 120 Tage Schwarz-Rot,6,International,0.9782448411
Alexander Dobrindt · 120 Tage Schwarz-Rot,7,Government,0.9820247889
Alexander Dobrindt · 120 Tage Schwarz-Rot,8,Civil,0.9995310307
Alexander Dobrindt · 120 Tage Schwarz-Rot,9,Government,0.9932863116
Alexander Dobrindt · 120 Tage Schwarz-Rot,10,Macroeconomics,0.9755148292
Alexander Dobrindt · 120 Tage Schwarz-Rot,11,Macroeconomics,0.7214149833
Alexander Dobrindt · 120 Tage Schwarz-Rot,12,Government,0.8460358381
Alexander Dobrindt · 120 Tage Schwarz-Rot,13,Government,0.9966163039
Alexander Dobrindt · 120 Tage Schwarz-Rot,14,Government,0.9953298569
Alexander Dobrindt · 120 Tage Schwarz-Rot,15,Government,0.9987475872
Alexander Dobrindt · 120 Tage Schwarz-Rot,16,Macroeconomics,0.8829874992
Alexander Dobrindt · 120 Tage Schwarz-Rot,17,Macroeconomics,0.9969412684
Alexander Dobrindt · 120 Tage Schwarz-Rot,18,Macroeconomics,0.9983562827
Alexander Dobrindt · 120 Tage Schwarz-Rot,19,Social,0.9705011249
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",0,International,0.9994578958
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",1,International,0.9993076324
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",2,International,0.9987908006
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",3,International,0.9941898584
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",4,Government,0.9555661082
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",5,Defense,0.9995729327
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",6,Defense,0.5052836537
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",7,Defense,0.9992038608
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",8,Defense,0.9994248152
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",9,International,0.9926171899
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",10,Defense,0.9995846152
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",11,Defense,0.9994581342
