title,Agriculture,Civil,Defense,Domestic,Energy,Environment,Foreign,Government,Housing,Immigration,International,Labor,Law,Macroeconomics,Social,Technology,Transportation
Alexander Dobrindt · 120 Tage Schwarz-Rot,0,1,0,0,0,0,0,8,0,3,1,0,0,6,1,0,0
"Braucht Deutschland eine neue Außenpolitik, Herr Wadephul？",0,0,8,0,0,0,0,1,0,0,14,0,0,0,0,0,0
Eklat zwischen Trump und Selenskyj： Steht Europa allein？,0,0,6,0,0,0,0,1,0,0,12,0,0,0,0,0,0
Europa nach der Sicherheitskonferenz · bedingt abwehrbereit？,0,1,8,0,0,0,0,1,0,1,5,0,0,2,0,1,0
"Geht so Ihr Politikwechsel, Herr Merz？",0,0,0,2,1,0,0,4,0,1,7,0,0,4,5,0,0
"Ist Trump ein Vorbild für Deutschland, Herr Chrupalla？",1,0,5,2,0,0,1,6,0,0,4,0,0,0,0,0,0
"Ist auf Trumps Amerika noch Verlass, Herr Klingbeil？",0,0,4,0,0,0,0,7,0,0,6,0,0,1,0,0,0
Krieg in Nahost · Stürzt jetzt das Regime im Iran？,0,0,3,0,0,0,0,2,0,0,17,0,0,0,0,0,0
Müssen wir für unseren Wohlstand mehr arbeiten？,0,2,0,1,0,0,0,6,0,0,0,9,0,2,4,0,0
"Müssen wir uns für Krieg rüsten, um Frieden zu sichern？",0,2,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Nach dem Rentenstreit · schafft die Regierung den Aufschwung, Herr Söder？",1,1,0,3,0,1,0,8,1,0,0,2,0,2,1,0,0
Nahost und Ukraine： Wie wirksam ist die Methode Trump？,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Putin versetzt Selenskyj – und Europa schaut zu？,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Putins Krieg und Trumps Erpressung · Wie kann sich Europa behaupten？,0,0,12,0,0,0,1,0,0,0,9,0,0,0,0,0,0
"Schadet linke Politik unserem Wohlstand, Frau Reichinnek？",0,2,1,7,0,0,0,7,0,0,2,0,0,4,1,0,0
"Steht die Mehrheit für das Rentenpaket, Herr Spahn？",0,0,0,0,0,0,0,5,0,0,1,0,0,6,8,0,0
Stellenabbau und Handelskrieg： Ist unsere Autoindustrie noch zu retten？,0,2,0,7,0,2,2,4,0,2,0,0,0,0,0,0,3
Trump droht Iran · Stürzt das Regime？,0,0,1,0,0,0,0,1,0,0,15,0,0,0,0,1,0
Trump spaltet die USA · Welchen Schaden nimmt die Demokratie？,0,3,0,2,0,0,0,9,0,0,5,0,0,1,0,1,0
Trumps Griff nach Grönland · das Ende der NATO？,1,0,5,0,0,0,0,1,0,0,9,0,1,0,0,0,0
Trumps Ukraine-Deal： Neue Hoffnung auf Frieden？,0,0,5,0,0,0,0,1,0,0,15,0,0,0,0,0,0
Trumps neue Sicherheitsstrategie · die nächste Zeitenwende für Europa？,0,3,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Vertrauenskrise und Empörungskultur · Haben wir den Kompromiss verlernt？,0,5,0,0,0,0,0,9,0,0,0,0,0,0,2,3,0
"Wann sind wir kriegstüchtig, Herr Pistorius？",0,0,13,0,0,0,0,2,0,0,7,0,0,0,0,0,0
"Was kostet uns der Aufschwung, Herr Klingbeil？",1,0,0,0,0,0,0,14,0,0,5,0,0,2,3,0,0
"Wie will die neue Regierung Vertrauen gewinnen, Herr Frei？",0,0,0,0,0,0,0,10,0,4,5,0,0,3,0,0,0
"Wo bleibt der Ruck für Reformen, Herr Bundeskanzler？",0,2,6,0,0,0,0,5,0,1,2,1,0,3,4,1,0
Wohin führt die Eskalation zwischen Israel und dem Iran？,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0
